,상호,브랜드,"가입비
(가맹비)",교육비,보증금,"기타비용
(인테리어
비용포함)","합계
(창업비용
지수)","인테리어면적당(3.3㎡)
비용","기준면적
(㎡)인테리어",총 비용,가맹점수,신규개점,계약종료,계약해지,명의변경,가맹점 평균 매출액 ,가맹점 면적(3.3㎡)당 평균매출액
,평균,-,"7,274","3,921","3,051","90,512","104,758
(1.00)","14,107",93,"1,208,114",33,6,2,1,3,216301,27857
2024,포레스트아웃팅스,포레스트아웃팅스,"33,000","22,000","20,000","3,674,000","3,749,000
(36.00)","3,300","3,300","3,300,000",1,0,0,0,0,11886519,39229
2024,(주)라붐팩토리,라붐커피 (LABOOM COFFEE),"22,000","11,000","10,000","227,150","270,150
(3.00)","2,915",165,"145,750",1,0,0,2,0,1670000,18370
2024,연두커피인터내셔날(주),드립앤더치,"6,600","4,400","10,000","232,430","253,430
(2.00)","2,695",132,"107,800",3,0,0,0,0,932731,73637
2024,(주)밀화당,밀화당,"33,000","11,000",0,"448,800","492,800
(5.00)","2,200",330,"220,000",5,1,0,0,1,891880,9376
2024,(주)스컹크웍스코리아,스컹크웍스,"33,000","5,500",0,"302,500","341,000
(3.00)","2,750",198,"165,000",5,2,0,0,2,737880,9775
2024,(주)문화의물결에프엔씨,까사부사노,"22,000","5,500","10,000","166,320","203,820
(2.00)","2,200",132,"88,000",2,1,0,0,0,725196,36988
2024,(주)에스디인터내셔날,9 BLOCK (나인블럭),"22,000",0,"20,000","517,000","559,000
(5.00)","2,310",660,"462,000",4,1,0,0,0,678521,2721
2024,묵리459,묵리459,"22,000","11,000","10,000","561,000","604,000
(6.00)","3,300",396,"396,000",1,1,0,0,0,669541,66954
2024,카페달링,카페달링,"2,200","3,300",0,"31,383","36,883
(.00)","1,320",33,"13,200",12,2,0,1,0,540094,38329
2024,투썸플레이스(주),투썸플레이스,"25,000","1,500","10,000","273,300","309,800
(3.00)","2,187",148,"98,400",1484,125,0,53,132,522117,8949
2024,(주)그린에그에프엔비,콩카페,"11,000","6,600","5,000","215,600","238,200
(2.00)","2,750",132,"110,000",14,13,0,0,0,510932,12805
2024,서컴퍼니,부바스,"5,500","5,500","2,000","140,800","153,800
(1.00)","2,750",99,"82,500",8,4,0,0,0,502590,8089
2024,(주)더빌드,이너리트,"3,300","3,300",0,"65,760","72,360
(1.00)","2,750",33,"27,500",2,0,0,0,0,500372,5054
2024,(주)하이테이블,하이테이블,"11,000","5,500","5,000","180,565","202,065
(2.00)","3,300",132,"132,000",17,7,0,0,0,498966,7470
2024,또리커피본점,또리커피,"5,500","3,300","3,000","69,300","81,100
(1.00)","2,750",33,"27,500",10,10,0,0,0,483803,35837
2024,"(주)플러스82(PLUS82Co.,Ltd.)",PLUS 82(플러스 82),"7,700","3,300","3,000","71,500","85,500
(1.00)","1,650",33,"16,500",122,102,0,0,8,476469,31470
2024,㈜디앤지컴퍼니본,씨이십칠(C27),"11,000","3,300","10,000","214,500","238,800
(2.00)","2,200",132,"88,000",3,0,1,0,0,462506,7312
2024,(주)에스엘투,파라노이드,"11,000","2,000","5,000","144,800","162,800
(2.00)","2,400",99,"72,000",2,2,0,0,0,446394,7971
2024,에이피씨(주),아필코(APILCO),"33,000","5,500","5,000","192,500","236,000
(2.00)","2,200",165,"110,000",5,0,0,2,0,434882,7049
2024,(주)오가다,백억커피,"5,500","3,300","5,000","83,300","97,100
(1.00)","2,200",50,"33,000",88,63,0,1,6,433125,34431
2024,(주)지구당,띵크프룻,"7,700","5,500","3,000","121,000","137,200
(1.00)","2,750",66,"55,000",2,2,0,0,0,424866,13716
2024,(주)에이치케이컴퍼니,데일리오아시스,"7,700","5,500","3,000","117,700","133,900
(1.00)","2,750",66,"55,000",11,1,1,1,0,409598,11276
2024,한가득팜,달다구니(DALDAGUNI),"5,500","1,100","10,000","68,200","84,800
(1.00)","2,200",66,"44,000",5,3,0,0,0,399625,3996
2024,(주)유엔유,아토커피,"5,000","2,000","2,000","24,500","33,500
(.00)",200,33,"2,000",10,4,0,0,1,395675,28862
2024,(주)탐앤탐스,탐앤탐스 커피(TOM N TOMS COFFEE),"11,000",0,"10,000","186,626","207,626
(2.00)","2,266",99,"67,980",257,11,47,0,12,385128,9078
2024,(주)모인,벤베커(Ben Backer),"11,000","11,000","5,000","198,000","225,000
(2.00)","2,200",165,"110,000",3,3,0,0,0,383847,2742
2024,(주)플레어비,플레어비,"22,000","5,500","5,000","174,900","207,400
(2.00)","2,420",99,"72,600",5,0,0,1,0,377314,8994
2024,㈜메이크어베러(Makeabetter),에이바우트커피,"55,000",0,"20,000","364,000","439,000
(4.00)","2,750",264,"220,000",51,7,0,6,2,368597,3859
2024,㈜에이치케이컴퍼니,핑퐁커피,"5,500","3,300","1,000","53,680","63,480
(1.00)","1,980",33,"19,800",11,6,2,1,0,368102,39370
2024,유한회사올드브릭컴퍼니,커피 로드뷰,"5,500","3,300","5,000","81,070","94,870
(1.00)","1,760",50,"26,400",11,6,0,0,0,367624,11597
2024,(주)고바슨,고바슨,"11,000","8,800","10,000","245,850","275,650
(3.00)","2,530",165,"126,500",7,2,0,0,0,363651,2909
2024,맷차,METCHA(맷차),"22,000","11,000","5,000","171,820","209,820
(2.00)","2,750",99,"82,500",2,0,0,1,0,362639,7586
2024,(주)앤하우스,메가엠지씨커피(MEGA MGC COFFEE),"8,800","4,400","2,000","59,026","74,226
(1.00)","1,540",33,"15,400",2681,539,0,14,333,362621,20908
2024,와이제이와이푸드(주),아덴블랑제리 시그니쳐,"28,600","8,800",0,"199,080","236,480
(2.00)","2,000",165,"100,000",5,5,0,0,0,350750,345
2024,(주)카페홈즈,카페홈즈(Cafe Homes),"11,000","5,500","2,000","67,060","85,560
(1.00)","1,650",50,"24,750",12,11,0,0,1,345782,27023
2024,(주)와이엔비컴퍼니,미루꾸커피,"33,000","11,000","5,000","140,250","189,250
(2.00)","2,750",50,"41,250",2,2,0,0,0,344437,20261
2024,(주)케이지에프앤비,할리스,"6,600","4,400","10,000","240,000","261,000
(2.00)","2,000",165,"100,000",424,42,37,20,12,344268,5849
2024,아리카페(R&D센터),파운드커피,"5,500","3,300","3,000","72,600","84,400
(1.00)","2,750",33,"27,500",9,2,0,0,0,337860,24885
2024,㈜디케이비에프엔비,도케비커피(DoKKeB Coffee),"7,700","3,300","5,000","176,000","192,000
(2.00)","2,200",116,"77,000",3,3,0,0,0,330560,5097
2024,(주)레스트아레아,휴게소,"6,600","1,100","1,000","57,750","66,450
(1.00)","2,200",50,"33,000",20,20,0,0,0,325983,21313
2024,(주)에스엠씨인터내셔널,디저트39,"7,700","8,800",0,"166,800","183,300
(2.00)","3,500",66,"70,000",529,100,19,16,22,325803,14475
2024,(유)빈타이컴퍼니,빈타이(BEAN TIE),"11,000",0,0,"217,800","228,800
(2.00)","4,125",132,"165,000",14,4,0,0,0,323382,4036
2024,(주)유동커피,유동커피,"10,000","10,000","1,000","239,000","260,000
(2.00)","3,300",165,"165,000",14,3,4,0,0,323301,8995
2024,이공컴퍼니,이공커피,"5,500","3,300","3,000","75,900","87,700
(1.00)","3,850",33,"38,500",11,7,0,0,2,320381,26803
2024,(주)더본코리아,빽다방,"3,300","3,300","2,000","68,272","76,872
(1.00)","1,672",33,"16,720",1449,241,0,20,108,319087,21360
2024,(주)지핸즈,핸즈커피 (HANDS COFFEE),"13,500","2,000","10,000","162,001","187,501
(2.00)","3,816",79,"91,594",66,1,15,0,2,311312,4333
2024,(유)프루칸,우아한과일,"5,500","3,300","2,000","59,510","70,310
(1.00)","1,650",33,"16,500",2,0,0,0,0,309197,15792
2024,샐러리아안산본점,샐러리아 SALARIA,"5,500","3,300","3,000","59,000","70,800
(1.00)","30,000",50,"30,000",45,31,0,0,4,306373,26346
2024,(주)매머드커피랩,매머드커피(Mammoth coffee),"11,000","5,500",0,"79,901","96,401
(1.00)","2,956",26,"23,650",30,0,0,9,7,304074,22482
2024,(주)편안,카페아이엠티,"3,300","16,500","3,000","132,000","154,800
(1.00)","3,300",66,"66,000",11,0,0,4,1,302117,15327
2024,(주)유로스컴퍼니,유로스커피 로스터스,"11,000","5,500","5,000","145,800","167,300
(2.00)","2,500",99,"75,000",4,3,0,0,0,297466,11665
2024,(주)필인에프앤비,프랭크커핀바,"11,000","5,500",0,"85,800","102,300
(1.00)","2,310",66,"46,200",30,19,0,1,3,288782,6554
2024,블루빈컴퍼니(주),시나본(CINNABON),"11,000","5,500","10,000","138,830","165,330
(2.00)","3,300",66,"66,000",16,4,0,8,0,280461,15671
2024,(주)티제이커피기업,커피기업,"8,800","4,400","2,000","80,190","95,390
(1.00)","2,420",50,"36,300",17,3,1,0,1,278331,16233
2024,이프컴퍼니,if coffee,"4,400","6,600","3,000","119,797","133,797
(1.00)","2,200",116,"77,000",4,4,0,0,0,276334,4606
2024,롯데지알에스(주),엔제리너스,"3,300","8,140","8,140","268,733","288,313
(3.00)","2,054",264,"164,285",302,5,38,0,11,276161,4812
2024,(주)이음에프앤비,이륜당,"3,300","2,200",0,"55,100","60,600
(1.00)","1,735",43,"22,550",18,1,1,0,5,274742,16627
2024,(주)포어스코퍼레이션,달꽃다방,"7,700","3,300","2,000","32,768","45,768
(.00)","1,430",33,"14,300",5,1,2,3,0,272499,14046
2024,(주)다도글로벌,드롭탑(DROPTOP),"5,500","3,300","10,000","99,869","118,669
(1.00)","1,650",66,"33,000",169,14,23,24,21,272134,8690
2024,(주)랑데자뷰,랑데자뷰(RENDEJAVOUS),"8,800","5,500","5,000","388,000","407,300
(4.00)","2,750",330,"275,000",29,0,2,6,1,269891,3140
2024,(주)카페데베르,카페데베르,"11,000",0,"10,000","187,000","208,000
(2.00)","2,860",132,"114,400",2,0,0,0,0,268103,6135
2024,(주)마일로,마일로(MILO),"5,500","3,300","2,000","48,400","59,200
(1.00)","2,200",33,"22,000",26,12,3,0,2,267356,15520
2024,(주)비엠디,봉명동내커피,"6,600","2,200","3,000","51,382","63,182
(1.00)","2,800",33,"28,000",135,53,3,6,31,267130,22954
2024,(주)컴포즈커피,컴포즈커피(COMPOSE COFFEE),"5,500","2,200","5,000","82,532","95,232
(1.00)","1,600",33,"16,000",2360,474,0,15,338,265013,26002
2024,(주)에센스커피,에센스커피,"5,500","3,300","2,000","57,750","68,550
(1.00)","2,200",33,"22,000",11,11,0,0,0,258208,18710
2024,(주)포트코퍼레이션,포트캔커피 PORT CAN COFFEE,"5,500","5,500","5,000","65,010","81,010
(1.00)","2,200",33,"22,000",98,31,1,4,4,256098,21853
2024,(주)돌우물,퐁치커피익스프레스,"11,000","2,200","5,000","144,800","163,000
(2.00)","2,400",99,"72,000",12,11,0,0,0,255925,19194
2024,해쉬커피가맹본부,해쉬커피,"5,500","3,300","3,000","73,835","85,635
(1.00)","2,860",33,"28,600",18,4,0,0,0,252020,18582
2024,두어컴퍼니,아이캔커피,"3,300","5,500","3,000","46,200","58,000
(1.00)","1,320",33,"13,200",24,6,0,8,4,251672,18271
2024,따름인,#힘이나는커피생활,"3,850","1,650","2,500","64,790","72,790
(1.00)","1,738",33,"17,380",10,0,0,1,0,247171,23855
2024,일커피(주),일커피(iL COFFEE),"5,500","3,300","3,000","55,550","67,350
(1.00)","2,090",33,"20,900",3,0,0,1,0,246831,13344
2024,(주)파란만잔,파란만잔,"11,000","3,300","2,000","110,935","127,235
(1.00)","3,000",50,"45,000",42,26,0,2,2,246113,11289
2024,(주)지민,천씨씨커피,"5,500","3,300","5,500","62,700","77,000
(1.00)","2,200",33,"22,000",99,25,6,0,18,239639,42878
2024,에스이커피,에스이커피(SE COFFEE),"5,500","3,300","1,000","76,230","86,030
(1.00)","2,090",53,"33,440",3,2,0,0,0,238939,16036
2024,펠어커피,펠어커피초코,"12,100","3,300",0,"93,500","108,900
(1.00)","3,300",50,"49,500",23,2,0,1,0,237083,18428
2024,(주)제이엠케이,비엔나커피하우스,"5,500","3,300","10,000","161,810","180,610
(2.00)","2,365",99,"70,950",24,1,0,7,1,237004,3970
2024,(주)하이파이브,하이오커피,"5,500","3,300","3,000","59,300","71,100
(1.00)","2,200",33,"22,000",249,73,7,3,21,236131,17987
2024,(주)탑컴퍼니,TOP LITER,"5,500","3,300","5,000","62,650","76,450
(1.00)","2,200",33,"22,000",11,5,2,0,0,234837,15163
2024,(주)트러스트에프앤비(TRUSTF&B),트러스트 스페셜티 커피,"8,800","4,400","2,000","74,500","89,700
(1.00)","2,200",33,"22,000",11,5,0,1,0,234235,19236
2024,(주)더바움코리아,카페바움(KAFFEE BAUM),"11,000","3,300","5,000","64,900","84,200
(1.00)","2,530",33,"25,300",10,0,0,7,0,234022,18315
2024,(주)엔핌,소미담,"11,000","5,500","1,000","67,700","85,200
(1.00)","2,200",40,"26,400",10,9,0,0,0,233485,17945
2024,(주)범브로스,점프(JUMP),"3,850","2,200","1,000","48,950","56,000
(1.00)","3,300",33,"33,000",31,13,0,5,4,232294,10492
2024,샬로우(SHALLOW),샬로우커피,"5,500","3,300","2,000","92,400","103,200
(1.00)","2,750",66,"55,000",17,7,0,1,1,231007,6018
2024,(주)매머드커피랩,매머드익스프레스(Mammoth Express),"11,000","5,500",0,"79,901","96,401
(1.00)","2,956",26,"23,650",630,201,0,25,51,230780,18697
2024,(주)훈훈한배,히스피(HISFFEE),"11,000","3,300","3,000","33,000","50,300
(.00)","2,000",50,"30,000",25,9,0,0,1,230714,12093
2024,(주)에스앤씨세인,더벤티,"5,500","3,300","5,000","67,033","80,833
(1.00)","1,760",33,"17,600",1129,197,42,19,150,230012,18333
2024,(주)엘케이디앤,카페동네,"5,500","3,300","2,000","130,200","141,000
(1.00)","3,000",99,"90,000",28,5,0,4,2,229437,6250
2024,(주)프롬하츠,프롬하츠(FROM HEARTS),"11,000","3,300","10,000","98,000","122,300
(1.00)","2,000",66,"40,000",13,1,0,1,1,228884,5440
2024,(주)템포컴퍼니,템포커피(tempo coffee),"5,500","5,500","3,000","94,400","108,400
(1.00)","2,200",66,"44,000",7,4,0,1,0,228280,8278
2024,(주)전광수커피,전광수커피,"3,500","8,000","5,000","195,400","211,900
(2.00)","3,630",82,"90,750",14,1,0,3,0,227939,8088
2024,(주)모쿠816컴퍼니,모쿠816(Moku816),"5,500","3,300",0,"59,300","68,100
(1.00)","2,475",26,"19,800",17,10,0,1,3,227645,13414
2024,1리터셀(SELL)&디저트와플,1리터셀(SELL)&디저트와플,"3,300","2,200",0,"35,000","40,500
(.00)",500,33,"5,000",7,7,0,0,0,227459,25273
2024,큰큰컴퍼니(주),큰큰커피,"3,300","3,300","5,000","74,800","86,400
(1.00)","1,833",59,"33,000",3,3,0,0,0,227333,22733
2024,㈜아임일리터,아임일리터,"5,500","5,500","3,000","65,600","79,600
(1.00)","2,200",33,"22,000",78,8,0,6,6,227311,9073
2024,(주)카페16온스,카페16온스,"5,500","3,300","3,000","68,200","80,000
(1.00)","3,190",33,"31,900",27,11,0,1,3,226248,20687
2024,(주)그레닉스,빌리엔젤,"7,000","3,000","5,000","221,100","236,100
(2.00)","2,750",66,"55,000",22,0,0,8,0,221489,7193
2024,(주)커피명가,커피명가,"22,000","2,200","5,000","169,400","198,600
(2.00)","2,750",99,"82,500",41,3,2,0,0,221110,4274
2024,(주)티알씨코리아,테라커피(TERA COFFEE),"5,500","3,300","2,000","63,060","73,860
(1.00)","1,950",33,"19,500",20,14,0,1,0,220639,18390
2024,(주)하삼동,하삼동커피,"5,500","5,500","3,000","68,200","82,200
(1.00)","2,970",33,"29,700",587,83,3,0,88,217906,14871
2024,베이커리카페동백다방,동백다방,"5,500","5,500",0,"87,200","98,200
(1.00)","2,347",50,"35,200",1,0,0,0,0,217503,7767
2024,707커피컴퍼니(주),707COFFEE,"5,500","5,500","2,000","55,000","68,000
(1.00)","2,200",33,"22,000",6,4,0,0,0,217238,14483
2024,킹프레소,킹프레소,"5,500","3,300","2,000","68,640","79,440
(1.00)","2,750",33,"27,500",15,4,0,7,0,215938,15055
2024,㈜몬스터,몬스터커피,"5,500","3,000","5,000","50,600","64,100
(1.00)","2,200",33,"22,000",80,17,2,1,9,214284,15607
2024,숨맑은집인테리어,숨맑은집,"5,500","3,300","1,000","126,500","136,300
(1.00)","2,750",66,"55,000",2,1,0,0,0,213578,7628
2024,(주)우지컴퍼니,우지커피(OOZYCOFFEE),"5,500","3,300","2,000","73,238","84,038
(1.00)","1,980",40,"23,760",97,55,2,0,1,213042,13409
2024,히든오아시스,히든오아시스(HIDDENOASIS),"5,500","3,300","2,000","46,530","57,330
(1.00)","1,650",23,"11,550",8,6,0,1,0,211875,12507
2024,(주)마실에프앤비,마실커피,"7,700","5,500","3,000","76,175","92,375
(1.00)","3,300",33,"33,000",37,13,0,0,4,211640,14398
2024,제로3커피로스터스,A LOT TO GO(어랏투고),"11,000","3,300","2,000","56,100","72,400
(1.00)","2,750",33,"27,500",12,6,0,0,1,211631,18762
2024,우아한패밀리(주),피에스타7커피,"5,500","3,300","2,000","48,359","59,159
(1.00)","1,500",33,"15,000",17,8,0,0,1,211155,17895
2024,블루빈컴퍼니(주),라떼킹(Latteking),"5,500","5,500","3,000","12,650","26,650
(.00)",253,82,"6,325",10,3,0,2,0,210456,12257
2024,와이제이와이푸드(주),아덴블랑제리,"16,500","8,800",0,"111,000","136,300
(1.00)","2,000",43,"26,000",42,20,3,0,1,209810,9110
2024,(주)커피사피엔스,커피사피엔스,"7,700","3,300","20,000","59,290","90,290
(1.00)","1,804",33,"18,040",81,20,6,0,15,205737,15602
2024,비엠에프엔비,페어런츠,"3,300","5,500",0,"59,950","68,750
(1.00)","1,760",50,"26,400",5,0,0,2,0,205602,11123
2024,카페코나퀸즈(주),카페코나퀸즈,"11,000","2,200","10,000","182,600","205,800
(2.00)","2,750",82,"68,750",4,0,3,0,0,204971,5394
2024,(주)영투게더컴퍼니,영커피,"7,700","5,500","3,000","74,569","90,769
(1.00)","2,420",33,"24,200",47,19,0,3,5,204798,14367
2024,에스프레소코리아(주),카페보니또,"11,000","3,300","5,000","112,970","132,270
(1.00)","1,980",99,"59,400",19,1,3,0,1,203616,4968
2024,디커피:DCOFFEE,디커피,"3,300","2,200",0,"55,300","60,800
(1.00)","2,100",33,"21,000",2,1,0,0,0,203570,4154
2024,(주)에브리커피,Every Coffee(에브리커피),"6,600","2,200","5,000","92,400","106,200
(1.00)","1,980",50,"29,700",14,9,0,0,0,201592,4455
2024,(주)케이디앤아이,레이지앤코(LAZY & CO),"11,000","5,500","1,000","68,860","86,360
(1.00)","2,200",50,"33,000",3,1,0,0,0,200951,11727
2024,(주)어반파머스,파머스빈,"11,000","3,300","2,000","56,760","73,060
(1.00)","1,980",26,"15,840",7,1,2,5,0,200887,9476
2024,(주)커피인류,커피인류,"5,500","6,600","5,000","73,755","90,855
(1.00)","2,200",33,"22,000",29,1,4,0,5,200393,14061
2024,커슐랭영동점,커슐랭,"6,600","2,200","3,000","53,180","64,980
(1.00)","2,200",33,"22,000",2,1,0,0,0,200000,20000
2024,여기Cafe,화채업자,"5,500","3,300","1,000","19,800","29,600
(.00)",0,0,0,12,12,0,0,0,197527,10126
2024,(주)더쉐프,텐퍼센트스페셜티커피,"5,500","3,300","2,000","69,300","80,100
(1.00)","2,420",33,"24,200",621,217,5,4,84,196831,14932
2024,㈜혜명에프앤비,오페라빈 에스프레소바,"2,200","2,750","2,000","66,220","73,170
(1.00)","1,980",33,"19,800",4,4,0,0,0,196315,14558
2024,(주)희다,카페희다,"5,500","2,200","2,000","79,067","88,767
(1.00)","2,750",50,"41,250",23,4,12,2,0,196261,9417
2024,(주)이디야,이디야커피,"9,900","3,300","5,000","109,690","127,890
(1.00)","2,090",66,"41,800",2805,143,0,343,244,195287,6447
2024,(주)공오일,카페051(cafe051),"5,500","3,300",0,"68,200","77,000
(1.00)","2,750",33,"27,500",219,16,9,0,29,195264,16474
2024,왓컴퍼니,왓커피,"5,500","3,300",0,"63,800","72,600
(1.00)","1,870",33,"18,700",17,6,2,0,0,193874,9873
2024,욤씨에프(주),욤카페,"7,700","3,300",0,"59,570","70,570
(1.00)","1,650",33,"16,500",15,3,0,1,4,191756,11217
2024,(주)무유,디디디알캔&보틀커피,"3,300","2,200",0,"44,286","49,786
(.00)","1,980",33,"19,800",21,13,0,1,0,191207,10586
2024,(주)벌크커피,벌크커피(BULK COFFEE),"5,500","3,000",0,"51,400","59,900
(1.00)","1,650",33,"16,500",218,14,6,1,30,189787,10359
2024,(주)에슬로우,에슬로우커피 (ESLOW COFFEE),"5,500","1,100","3,000","49,000","58,600
(1.00)","2,500",33,"25,000",26,1,0,8,2,188899,15343
2024,(주)다날에프엔비,달.콤(dal.komm),"7,700","3,300","10,000","167,000","188,000
(2.00)","4,175",132,"167,000",73,10,0,29,3,188001,5991887
2024,(주)중독컴퍼니,카페인중독,"5,500","3,300","1,000","42,200","52,000
(.00)","2,250",26,"18,000",161,48,1,18,18,187789,14282
2024,(주)올리버브라운코리아,올리버브라운 카페,"11,000","2,200","5,000","123,200","141,400
(1.00)","2,200",99,"66,000",5,0,0,1,0,187467,4767
2024,(주)위드런,댄싱컵(DANCINGCUP),"5,500","3,300","2,000","71,830","82,630
(1.00)","2,750",33,"27,500",107,39,0,3,16,187366,13922
2024,(주)커스텀커피,커스텀커피,"11,000","11,000",0,"99,180","121,180
(1.00)","4,400",33,"44,000",112,10,1,6,13,187050,10883
2024,(주)고구려에프앤비,오슬랑 커피,"5,500","3,300","3,000","61,100","72,900
(1.00)","2,200",33,"22,000",19,9,1,1,0,186539,14316
2024,(주)프라빈,PRABEAN,"5,500","1,100","3,000","56,900","66,500
(1.00)","3,150",33,"31,500",8,0,0,3,1,186107,7419
2024,(주)아이피케이,청솔로9,"7,700","3,300","2,000","55,591","68,591
(1.00)","3,520",33,"35,200",81,24,0,8,11,186106,9685
2024,드림컴트루(주),챔스빈커피,"7,700","3,300",0,"47,900","58,900
(1.00)","2,145",33,"21,450",4,0,0,0,1,185237,4365
2024,(주)단디코리아,Blu Shaak(블루샥),"11,000","3,300",0,"85,250","99,550
(1.00)","3,850",33,"38,500",208,45,0,10,7,184936,10966
2024,(주)디자인포비,"지브릭커피(G,BRICK COFFEE)","7,700","3,300","5,000","70,356","86,356
(1.00)","1,980",66,"39,600",6,1,0,0,0,184893,6624
2024,(주)더치즈샵,더치즈샵,"5,500","3,300","1,000","77,000","86,800
(1.00)","2,750",33,"27,500",2,0,0,0,0,183617,10492
2024,(주)차차커피코,차차커피코,"5,500","5,500",0,"66,000","77,000
(1.00)","2,200",26,"17,600",50,28,0,3,2,182691,11370
2024,수혈컴퍼니,아아수혈,"3,300","2,200",0,"56,200","61,700
(1.00)","1,550",33,"15,500",7,2,0,3,1,182040,14652
2024,(주)재나컴퍼니,커피볶는시골커피,"8,800","3,300","3,300","59,400","74,800
(1.00)","2,200",33,"22,000",10,5,0,0,0,181642,13789
2024,(주)카페일리터,카페일리터,"6,600","3,300","1,000","33,000","43,900
(.00)","1,100",33,"11,000",98,28,2,1,3,181615,14681
2024,(주)아리스타,아리스타,"5,500","2,200",0,"57,420","65,120
(1.00)","1,760",33,"17,600",16,3,0,6,0,180060,17058
2024,㈜제이피에프엔비,꽈로플,"5,500","3,300","1,000","49,500","59,300
(1.00)","1,650",33,"16,500",1,0,0,1,0,180000,12000
2024,오디디오,카페 오디디오,"5,500","5,500","2,000","44,000","57,000
(1.00)","2,200",33,"22,000",2,0,0,0,0,180000,14400
2024,(주)에스엠홀딩스,앤더스커피(anduscoffee),"3,300","3,300","5,000","96,800","108,400
(1.00)","2,750",66,"55,000",2,0,0,0,0,179905,60488
2024,(주)알리스타커피,ALI★KENYA★STAR(알리케냐스타)커피,"13,200","3,300","3,000","154,000","173,500
(2.00)","2,750",99,"82,500",6,0,0,1,0,179428,2002
2024,(주)더블루커피,THE BLUE COFFEE,"5,500","3,300","1,000","62,700","72,500
(1.00)","3,438",26,"27,500",12,4,0,1,0,178575,23191
2024,(주)더베이커리랩,스윗디저트카페루시카토,"11,000","4,400","10,000","179,140","204,540
(2.00)","2,750",99,"82,500",6,3,0,0,0,176654,4974
2024,(주)카페봄봄,카페봄봄,"5,500","3,300","2,000","64,900","75,700
(1.00)","3,080",33,"30,800",430,78,3,64,0,176617,15321
2024,(주)엑스엑스,엑스엑스 커피메이커,"5,500","3,300","1,000","25,300","35,100
(.00)","1,650",33,"16,500",10,6,0,1,0,176533,15447
2024,우주곰커피제이엠에프,우주곰커피,0,"3,300",0,"40,150","43,450
(.00)","1,513",26,"12,100",5,4,0,0,0,175993,31427
2024,유아이유명덕점,유아이유,"5,500","3,300","3,000","50,500","62,300
(1.00)","2,500",33,"25,000",3,0,0,0,0,175282,17528
2024,(주)트리플컴퍼니,트리플에이커피,"5,500","2,200","2,000","49,500","59,200
(1.00)","1,650",33,"16,500",85,28,7,0,0,174484,12177
2024,(주)바나플에프엔비,바나프레소,"6,600","3,300","2,000","167,682","179,582
(2.00)","3,000",82,"75,000",22,20,0,0,0,173051,10048
2024,(주)베델에프앤비(BethelF&B),쿠카쿠,"3,300","5,500","5,000","91,300","105,100
(1.00)","1,980",99,"59,400",4,2,6,0,0,172646,4193
2024,(주)웨이닝코리아,더웨이닝커피,"7,700","3,300","5,000","145,200","161,200
(2.00)","2,420",99,"72,600",43,3,3,0,0,171661,4958
2024,프레시턴트,프레시턴트(FRESHTANT),"5,500","3,300",0,"72,930","81,730
(1.00)","2,200",50,"33,000",6,2,0,1,0,171143,9779
2024,더플롯(THEPLOT),더플롯커피(THE PLOT COFFEE),"3,300","3,300","3,000","64,800","74,400
(1.00)",275,33,"2,750",7,0,0,1,0,169804,9585
2024,㈜모리씨앤비,모리커피,"5,500","3,300","2,000","62,590","73,390
(1.00)","2,530",33,"25,300",64,16,0,0,9,168958,9142
2024,(주)한국창업경제연구소,아마떼,"7,700","2,200","1,000","100,320","111,220
(1.00)","1,980",99,"59,400",16,2,0,2,0,168809,5470
2024,(주)청자다방,청자다방,"5,500","3,300","2,000","56,120","66,920
(1.00)","2,560",33,"25,600",126,18,0,14,9,168338,8857
2024,(주)빅트리컴퍼니,COFFEE COOK (커피쿡),"5,500","3,300","2,000","47,850","58,650
(1.00)","1,650",26,"13,200",56,18,0,3,1,168226,11330
2024,이수페,이수페,"5,500","5,500","3,000","60,500","74,500
(1.00)","2,200",33,"22,000",2,2,0,0,0,167334,12271
2024,아재커피,아재커피,"3,300","4,400","2,200","63,500","73,400
(1.00)","3,300",33,"33,000",4,1,0,0,0,166816,14463
2024,(주)사슴벌레,스몰굿,"5,500","3,300","2,000","83,600","94,400
(1.00)","2,420",33,"24,200",25,9,0,2,2,166518,10263
2024,(주)여유와즐거움,카페락온,"55,000","11,000","3,000","61,600","130,600
(1.00)","2,200",50,"33,000",1,1,0,0,0,166497,12065
2024,(주)큐로에프앤비,일리카페(illy Caffe),"11,000","5,500","5,000","228,840","250,340
(2.00)","4,395",99,"131,860",14,1,8,1,0,166288,4365
2024,필아웃,필아웃커피,"11,000","5,500","1,000","81,730","99,230
(1.00)","2,200",50,"33,000",6,3,0,0,0,165534,12927
2024,구스카토,구스카토,"3,300","5,500","1,000","70,950","80,750
(1.00)","2,750",50,"41,250",3,2,0,0,0,165200,4025
2024,콜프로스터스,콜프로스터스,"3,300","3,300","5,000","109,577","121,177
(1.00)","1,800",66,"36,000",10,7,0,0,0,164964,5265
2024,요거팡,요거팡 YogurPang,"5,500","3,300",0,"46,700","55,500
(1.00)","1,870",33,"18,700",4,4,0,0,0,164277,13010
2024,(주)쿼드코리아,쿼드커피(QUAD COFFEE),0,0,0,"74,400","74,400
(1.00)","1,980",50,"29,700",27,11,0,4,2,163964,8547
2024,(주)정직한,벤티프레소,"5,500","3,300","3,000","59,590","71,390
(1.00)","2,090",33,"20,900",50,21,9,0,7,162393,11971
